Id	kgroup	size	cpdcount	as_count	Degree
EGFR	TK	3534	3875	1974	341
p110a	Atypical	4017	5759	1877	47
p110b	Atypical	765	1057	516	12
JAK2	TK	3877	4560	1745	336
KDR	TK	5796	6261	3138	346
SYK	TK	383	2964	309	309
Erk2	CMGC	348	4153	253	168
GSK3A	CMGC	1801	1817	1363	277
GSK3B	CMGC	1986	2432	1503	288
PKCa	AGC	382	597	271	172
PKACa	AGC	325	338	262	274
BARK1	AGC	57	123	37	3
AKT1	AGC	1350	2413	795	156
RSK3	AGC	79	80	74	291
ROCK2	AGC	845	1798	624	312
PKCd	AGC	544	595	354	243
BTK	TK	324	1940	250	304
TNIK	STE	44	156	43	299
ITK	TK	330	783	250	301
ErbB2	TK	3593	3829	1952	321
ErbB4	TK	203	205	151	219
CDC2	CMGC	954	1226	714	244
NEK2	Other	115	136	100	225
MET	TK	557	2609	375	318
JAK1	TK	3907	4231	1676	314
ABL1	TK	2474	3371	1562	351
ROCK1	AGC	2651	2807	1672	305
PIK3R4	Other	1843	1843	1069	4
JNK1	CMGC	1082	1117	668	307
JNK2	CMGC	1162	1188	727	316
JNK3	CMGC	1042	1286	637	303
TYK2	TK	782	825	493	326
p110g	Atypical	2436	2852	1257	45
IKKb	Other	157	619	98	176
PKCg	AGC	173	173	157	171
PKCb	AGC	222	582	175	75
PKCh	AGC	181	185	139	133
AKT2	AGC	822	838	493	123
PKCe	AGC	202	223	171	151
PKCt	AGC	511	674	283	241
PKCz	AGC	47	63	40	119
AKT3	AGC	723	723	440	131
PDHK2	Atypical	6	418	5	0
SRC	TK	1275	2230	894	340
p38a	CMGC	711	3442	514	182
MAP2K1	STE	273	864	194	313
CK1d	CK1	555	599	325	285
PIM1	CAMK	2706	3355	1390	230
CDC7	Other	296	642	216	161
CDK2	CMGC	1646	2324	1172	290
RAF1	TKL	426	705	299	112
BRAF	TKL	578	2497	347	133
AurA	Other	1813	2596	1213	313
FLT3	TK	1208	1587	874	360
CK2a1	CMGC	258	551	182	274
PIM3	CAMK	2003	2015	1026	225
PDGFRb	TK	753	1094	544	334
GAK	Other	75	110	74	316
RIPK2	TKL	71	98	71	217
BUB1	Other	8	13	8	10
LOK	STE	59	59	58	324
MARK3	CAMK	164	182	150	301
MAP3K1	STE	13	13	13	27
SLK	STE	212	212	188	350
p70S6K	AGC	1061	1438	649	311
PIM2	CAMK	1934	1981	965	211
p110d	Atypical	1036	1596	614	24
DAPK3	CAMK	275	288	229	316
HGK	STE	389	466	326	336
PAK4	STE	168	284	136	267
LCK	TK	1391	1437	937	347
FYN	TK	435	440	364	343
FMS	TK	547	1170	427	323
RET	TK	485	632	441	351
IGF1R	TK	390	1948	280	261
FGFR1	TK	1906	1934	981	335
FLT1	TK	4711	4718	2690	335
LTK	TK	128	128	124	293
MAP2K2	STE	97	100	94	297
CK1a	CK1	172	1517	143	235
